size,run,runtime_us,method
4096,1,544949,naive_cuda
4096,2,544962,naive_cuda
4096,3,544927,naive_cuda
4096,4,544878,naive_cuda
4096,5,544901,naive_cuda
4096,6,544891,naive_cuda
4096,7,544901,naive_cuda
4096,8,544911,naive_cuda
4096,9,544903,naive_cuda
4096,10,544902,naive_cuda
4096,1,75823,naive_cuda2
4096,2,76771,naive_cuda2
4096,3,76809,naive_cuda2
4096,4,76309,naive_cuda2
4096,5,75896,naive_cuda2
4096,6,75892,naive_cuda2
4096,7,75901,naive_cuda2
4096,8,75549,naive_cuda2
4096,9,75459,naive_cuda2
4096,10,75273,naive_cuda2
